379116.75336861,4940469.01859396,1
379117.60181646,4940470.05844533,1
379118.50143555,4940470.96988053,1
379119.78018658,4940472.25395938,1
379121.16897438,4940473.60921294,1
379122.63088274,4940474.870685,1
379124.17084906,4940476.12015483,1
379125.71472054,4940477.28178717,1
379127.20544431,4940478.50067591,1
379128.7101663,4940479.68253178,1
379130.27393531,4940480.77834628,1
379131.8833171,4940481.89009979,1
379133.54509321,4940482.9396751,1
379135.18866998,4940483.92897066,1
379136.89295033,4940484.77493422,1
379138.76980742,4940485.40378927,1
379140.78010998,4940485.75509369,1
379143.47742225,4940485.07051199,1
379145.34449997,4940484.25028361,1
379147.2269696,4940483.23597797,1
379148.95950591,4940481.88602752,1
379150.42901426,4940480.57761127,1
379151.81326707,4940479.29409928,1
379153.26923122,4940477.98543352,1
379154.7235217,4940476.85359242,1
379156.22381339,4940475.82334803,1
379157.81058883,4940474.70875924,1
379159.2927662,4940473.75017556,1
379160.88664282,4940472.73191094,1
379162.46543778,4940472.10183021,1
379163.87503178,4940472.21489625,1
379165.2130839,4940472.85196659,1
379166.39835844,4940474.09078346,1
379167.4337222,4940475.42907282,1
379168.28018527,4940477.20662711,1
379169.06916336,4940478.90989379,1
379169.92509979,4940480.63494189,1
379171.00059179,4940482.38089926,1
379172.37439853,4940483.96765159,1
379173.9047423,4940485.19257739,1
379175.49501751,4940486.30942052,1
379177.15615827,4940487.31384949,1
379178.84333485,4940488.2734689,1
379180.43722852,4940489.20983773,1
379181.93589912,4940490.29975135,1
379183.02167407,4940491.34047125,1
379184.05279963,4940492.79697422,1
379184.54995391,4940494.2118201,1
379184.86994332,4940496.06856044,1
379185.23974922,4940497.90898792,1
379185.6262367,4940499.87949398,1
379186.19640821,4940501.93192718,1
379187.87149493,4940504.22661763,1
379189.19353601,4940505.33730961,1
379190.7187931,4940506.37397095,1
379192.42538029,4940507.20788661,1
379194.22439975,4940507.85583377,1
379196.0779857,4940508.40869424,1
379197.90690462,4940508.92875305,1
379199.84950775,4940509.47962894,1
379201.84573091,4940509.76137998,1
379203.75436248,4940509.8757357,1
379205.71274958,4940509.86797026,1
379207.73082814,4940509.60469605,1
379209.52391958,4940509.11847444,1
379211.21931438,4940508.20013545,1
379212.78540481,4940506.86092393,1
379213.69531329,4940505.37205798,1
379214.68869545,4940504.15172361,1
379216.16905439,4940503.76370362,1
379217.94084599,4940503.58639371,1
379218.98056416,4940504.33792407,1
379219.91266111,4940506.01689713,1
379221.15833378,4940507.67554212,1
379223.00047217,4940508.83136396,1
379224.88903909,4940509.40559272,1
379226.79535929,4940509.76992803,1
379228.69268459,4940510.20981079,1
379230.04212062,4940511.33258646,1
379231.05675402,4940512.79730997,1
379231.71291439,4940514.54484514,1
379231.99354271,4940516.35525822,1
379232.23507642,4940518.44254413,1
379232.45863674,4940520.33054642,1
379232.84424411,4940522.16083063,1
379233.40691372,4940523.91005601,1
379234.13641012,4940525.59613229,1
379235.25816068,4940527.20077393,1
379236.67270737,4940528.58130855,1
379238.15750199,4940529.79935616,1
379240.16286918,4940530.82054428,1
379241.99875071,4940531.35062312,1
379243.86543462,4940531.72979932,1
379245.77394138,4940531.97097846,1
379247.69395373,4940532.05347705,1
379249.58740862,4940531.97277512,1
379251.43302648,4940531.52364362,1
379252.65053555,4940531.08597174,1
379253.82888085,4940530.58145244,1
379255.06124231,4940529.94657731,1
379256.1853185,4940529.31905553,1
